,X,Y,Z
1091,605,386,1528.2798
1092,605,385,1530.0214
1093,605,384,1531.9657
1094,605,383,1531.9667
1095,604,382,
1096,605,382,1531.9688
1097,603,382,1531.9697
1098,602,382,1531.9707
1099,601,381,1531.9717
1100,600,380,1531.9727
1101,599,379,1531.9736
1102,599,378,1531.9747
1103,598,377,1531.9757
1104,598,376,
1105,597,375,1531.9767
1106,597,374,1531.9777
1107,597,373,1531.9786
1108,598,372,1531.9797
1109,599,371,1531.9807
1110,600,370,1531.9817
1111,601,369,1531.9827
1112,602,368,
1113,603,367,1531.9836
1114,603,366,1531.9847
1115,603,365,1531.9857
1116,603,364,1531.9867
1117,603,363,1531.9877
1118,603,362,1531.9886
1119,603,361,1531.9897
1120,604,360,
1121,604,359,1531.9907
1122,603,358,1531.9917
1123,604,358,1531.9927
1124,602,357,1531.9937
1125,603,356,1531.9948
1126,604,355,1531.9957
1127,605,354,
1128,606,354,1531.9967
1129,607,354,1531.9977
1130,608,354,1531.9987
1131,609,353,1531.9996
1132,610,353,1532.0007
1133,611,353,1532.0017
1134,612,353,1532.0027
1135,613,352,
1136,614,351,1532.0037
1137,615,351,1532.0046
1138,616,350,1532.0057
1139,617,349,1532.0067
1140,618,348,1532.0077
1141,617,347,1533.9373
1142,618,346,1536.4857
1143,619,345,
1144,619,346,1536.4867
1145,619,344,1538.5854
1146,620,343,1541.3147
1147,621,342,1541.9819
1148,622,342,1542.0819
1149,623,341,1542.0829
1150,624,340,
1151,624,339,1542.0839
1152,625,338,1542.0848
1153,625,337,1542.0858
1154,626,336,1542.0869
1155,627,335,1542.0879
1156,628,334,1542.0889
1157,629,333,1542.0898
1158,630,332,
1159,631,331,1542.0908
1160,632,330,1542.0918
1161,633,329,1542.0929
1162,634,328,1542.0939
1163,635,327,1542.0948
1164,636,327,1542.0958
1165,637,328,
1166,638,329,1542.0968
1167,639,328,1542.0989
1168,640,327,1542.0999
1169,640,326,1544.0919
1170,641,325,1545.984
1171,642,325,1545.986
1172,643,324,1545.987
1173,644,323,1545.988
1174,645,322,1545.989
1175,645,321,1545.991
1176,645,320,1545.992
1177,645,319,1545.993
1178,645,318,1545.994
1179,646,317,1545.995
1180,646,316,1545.997
1181,647,315,1545.998
1182,647,314,1545.999
1183,648,313,1546.0
1184,649,312,1546.5162
1185,650,311,1546.5172
1186,650,310,1546.8931
1187,651,309,1546.5182
1188,651,308,
1189,650,307,1546.895
1190,649,306,
1191,648,306,1546.897
1192,647,307,1546.8981
1193,646,306,1546.899
1194,645,306,
1195,644,305,1546.9
1196,643,305,
1197,642,305,1547.984
1198,642,304,1547.985
1199,641,303,
1200,641,302,1547.986
1201,641,301,
1202,641,300,1547.987
1203,642,299,1547.988
1204,642,298,
1205,642,297,1547.989
1206,642,296,
1207,641,295,1547.99
1208,640,296,1547.991
1209,639,296,
1210,638,297,1547.992
1211,637,297,
1212,637,296,1547.993
1213,637,295,1547.994
1214,638,294,
1215,638,293,1547.995
1216,638,292,
1217,638,291,1547.996
1218,639,290,1547.997
1219,639,289,
1220,639,288,1547.998
1221,640,287,
1222,641,286,1547.999
1223,641,285,1548.6187
1224,642,284,
1225,643,284,1548.0
1226,644,284,
1227,645,285,1550.3856
1228,646,286,
1229,647,286,1553.0918
