,0,1
392,207,570
393,208,570
394,209,569
395,210,569
396,211,569
397,212,568
398,213,567
399,213,568
400,213,566
401,212,565
402,212,564
403,212,563
404,213,562
405,214,561
406,214,560
407,215,559
408,215,558
409,215,557
410,216,556
411,216,555
412,217,554
413,218,554
414,219,554
415,220,555
416,221,555
417,222,554
418,222,553
419,223,552
420,224,552
421,225,553
422,225,554
423,226,555
424,227,554
425,228,553
426,229,553
427,230,552
428,231,552
429,232,552
430,233,551
431,234,550
432,235,549
433,236,549
434,237,548
435,238,547
436,239,546
437,240,546
438,241,545
439,242,545
440,243,545
441,244,544
442,245,543
443,246,542
444,247,542
445,248,541
446,249,541
447,250,541
448,251,540
449,251,539
450,251,538
451,250,537
452,249,536
453,249,535
454,249,534
455,249,533
456,250,532
457,251,533
458,252,533
459,252,534
460,253,535
461,254,536
462,255,537
463,256,538
464,257,538
465,258,538
466,259,539
467,260,539
468,261,538
469,261,537
470,262,536
471,262,535
472,261,534
473,261,533
474,262,532
475,263,532
476,264,532
477,265,531
478,265,530
479,266,529
480,266,528
481,267,527
482,268,526
483,268,525
484,268,524
485,267,523
486,267,522
487,266,521
488,265,521
489,264,522
490,263,523
491,262,523
492,261,524
493,260,524
494,259,523
495,259,522
496,260,521
497,259,520
498,259,519
499,259,518
500,259,517
501,259,516
502,260,515
503,261,514
504,262,514
505,263,513
506,264,512
507,264,511
508,265,510
509,265,509
510,265,508
511,266,507
512,266,506
513,266,505
514,266,504
515,266,503
516,267,502
517,267,501
518,268,500
519,269,501
520,270,501
521,271,501
522,272,500
523,273,500
524,274,500
525,275,499
526,275,498
527,276,497
528,277,496
529,277,495
530,276,494
531,276,493
532,276,492
533,277,491
534,278,491
535,279,490
536,280,490
537,281,489
538,282,489
539,283,489
540,284,488
541,285,488
542,286,488
543,287,488
544,288,488
545,289,488
546,290,488
547,291,487
548,292,486
549,292,485
550,293,484
551,294,483
552,295,483
553,296,482
554,297,481
555,298,480
556,299,479
557,300,478
558,301,478
559,301,479
560,301,480
561,300,481
562,300,482
563,299,483
564,299,484
565,299,485
566,298,486
567,297,487
568,298,488
569,299,488
570,300,489
571,301,489
572,302,489
573,302,490
574,303,491
575,304,492
576,305,491
577,306,491
578,307,492
579,308,493
580,308,494
581,309,495
582,310,495
583,311,495
584,312,495
585,313,494
586,314,494
587,315,494
588,315,495
589,315,496
590,316,497
591,316,498
592,317,499
593,318,500
594,319,499
595,320,499
596,321,499
597,322,499
598,323,500
599,324,500
600,325,499
601,325,498
602,326,497
603,327,496
604,328,496
605,329,496
606,330,496
607,331,496
608,332,495
609,333,494
610,334,494
611,335,494
612,336,495
613,337,494
614,338,494
615,339,493
616,340,493
617,341,493
618,342,493
619,343,493
620,344,494
621,345,495
622,346,495
623,347,495
624,348,494
625,349,494
626,350,493
627,351,492
628,352,492
629,353,491
630,354,491
631,355,490
632,356,489
633,356,488
634,357,487
635,358,486
636,358,485
637,358,484
638,359,483
